rubric,graph_type,model,prompt_type,verdict
"Labels, units, titles & legends",small multi,gemini,standards,YES
Gridlines/ticks & sizing,small multi,gemini,baseline,NO
Gridlines/ticks & sizing,small multi,gemini,selfcheck,NO
Gridlines/ticks & sizing,small multi,gemini,standards,YES
Appropriate Data‑ink ratio,small multi,gemini,baseline,YES
Appropriate Data‑ink ratio,small multi,gemini,selfcheck,YES
Appropriate Data‑ink ratio,small multi,gemini,standards,YES
Legend–encoding alignment,small multi,gemini,baseline,YES
Legend–encoding alignment,small multi,gemini,selfcheck,YES
Legend–encoding alignment,small multi,gemini,standards,NO
Task intent adherence,small multi,gemini,baseline,YES
Task intent adherence,small multi,gemini,selfcheck,YES
Task intent adherence,small multi,gemini,standards,YES
Holistic readability,small multi,gemini,baseline,YES
Holistic readability,small multi,gemini,selfcheck,YES
Holistic readability,small multi,gemini,standards,YES
Code validity & reproducibility,small multi,grok,baseline,NO
Code validity & reproducibility,small multi,grok,selfcheck,YES
Code validity & reproducibility,small multi,grok,standards,YES
Encoding choice matches task,small multi,grok,baseline,
Encoding choice matches task,small multi,grok,selfcheck,YES
Encoding choice matches task,small multi,grok,standards,YES
Chart type suitability,small multi,grok,baseline,
Chart type suitability,small multi,grok,selfcheck,YES
Chart type suitability,small multi,grok,standards,YES
Axis integrity,small multi,grok,baseline,
Axis integrity,small multi,grok,selfcheck,NO
Axis integrity,small multi,grok,standards,NO
Scale consistency across panels,small multi,grok,baseline,
Scale consistency across panels,small multi,grok,selfcheck,YES
Scale consistency across panels,small multi,grok,standards,YES
Color contrast & colorblind safety,small multi,grok,baseline,
Color contrast & colorblind safety,small multi,grok,selfcheck,YES
Color contrast & colorblind safety,small multi,grok,standards,NO
Redundancy,small multi,grok,baseline,
Redundancy,small multi,grok,selfcheck,NO
Redundancy,small multi,grok,standards,YES
Data faithfulness,small multi,grok,baseline,
Data faithfulness,small multi,grok,selfcheck,YES
Data faithfulness,small multi,grok,standards,NO
"Labels, units, titles & legends",small multi,grok,baseline,
"Labels, units, titles & legends",small multi,grok,selfcheck,NO
"Labels, units, titles & legends",small multi,grok,standards,NO
Gridlines/ticks & sizing,small multi,grok,baseline,
Gridlines/ticks & sizing,small multi,grok,selfcheck,NO
Gridlines/ticks & sizing,small multi,grok,standards,NO
Appropriate Data‑ink ratio,small multi,grok,baseline,
Appropriate Data‑ink ratio,small multi,grok,selfcheck,YES
Appropriate Data‑ink ratio,small multi,grok,standards,NO
Legend–encoding alignment,small multi,grok,baseline,
Legend–encoding alignment,small multi,grok,selfcheck,YES
Legend–encoding alignment,small multi,grok,standards,YES
Task intent adherence,small multi,grok,baseline,
Task intent adherence,small multi,grok,selfcheck,YES
Task intent adherence,small multi,grok,standards,YES
Holistic readability,small multi,grok,baseline,
Holistic readability,small multi,grok,selfcheck,YES
Holistic readability,small multi,grok,standards,YES
Code validity & reproducibility,small multi,chatgpt,baseline,YES
Code validity & reproducibility,small multi,chatgpt,selfcheck,YES
Code validity & reproducibility,small multi,chatgpt,standards,YES
Encoding choice matches task,small multi,chatgpt,baseline,YES
Encoding choice matches task,small multi,chatgpt,selfcheck,YES
Encoding choice matches task,small multi,chatgpt,standards,YES
Chart type suitability,small multi,chatgpt,baseline,YES
Chart type suitability,small multi,chatgpt,selfcheck,YES
Chart type suitability,small multi,chatgpt,standards,YES
Axis integrity,small multi,chatgpt,baseline,NO
Axis integrity,small multi,chatgpt,selfcheck,NO
Axis integrity,small multi,chatgpt,standards,NO
Scale consistency across panels,small multi,chatgpt,baseline,YES
Scale consistency across panels,small multi,chatgpt,selfcheck,YES
Scale consistency across panels,small multi,chatgpt,standards,NO
Color contrast & colorblind safety,small multi,chatgpt,baseline,YES
Color contrast & colorblind safety,small multi,chatgpt,selfcheck,YES
Color contrast & colorblind safety,small multi,chatgpt,standards,YES
Redundancy,small multi,chatgpt,baseline,NO
Redundancy,small multi,chatgpt,selfcheck,NO
Redundancy,small multi,chatgpt,standards,NO
Data faithfulness,small multi,chatgpt,baseline,YES
Data faithfulness,small multi,chatgpt,selfcheck,YES
Data faithfulness,small multi,chatgpt,standards,YES
"Labels, units, titles & legends",small multi,chatgpt,baseline,YES
"Labels, units, titles & legends",small multi,chatgpt,selfcheck,YES
"Labels, units, titles & legends",small multi,chatgpt,standards,YES
Gridlines/ticks & sizing,small multi,chatgpt,baseline,YES
Gridlines/ticks & sizing,small multi,chatgpt,selfcheck,YES
Gridlines/ticks & sizing,small multi,chatgpt,standards,YES
Appropriate Data‑ink ratio,small multi,chatgpt,baseline,NO
Appropriate Data‑ink ratio,small multi,chatgpt,selfcheck,YES
Appropriate Data‑ink ratio,small multi,chatgpt,standards,NO
Legend–encoding alignment,small multi,chatgpt,baseline,NO
Legend–encoding alignment,small multi,chatgpt,selfcheck,YES
Legend–encoding alignment,small multi,chatgpt,standards,NO
Task intent adherence,small multi,chatgpt,baseline,YES
Task intent adherence,small multi,chatgpt,selfcheck,YES
Task intent adherence,small multi,chatgpt,standards,YES
Holistic readability,small multi,chatgpt,baseline,YES
Holistic readability,small multi,chatgpt,selfcheck,YES
Holistic readability,small multi,chatgpt,standards,YES
Code validity & reproducibility,dual axis,gemini,baseline,YES
Code validity & reproducibility,dual axis,gemini,selfcheck,YES
Code validity & reproducibility,dual axis,gemini,standards,YES
Encoding choice matches task,dual axis,gemini,baseline,YES
Encoding choice matches task,dual axis,gemini,selfcheck,YES
Encoding choice matches task,dual axis,gemini,standards,YES
Chart type suitability,dual axis,gemini,baseline,NO
Chart type suitability,dual axis,gemini,selfcheck,NO
Chart type suitability,dual axis,gemini,standards,NO
Axis integrity,dual axis,gemini,baseline,NO
Axis integrity,dual axis,gemini,selfcheck,NO
Axis integrity,dual axis,gemini,standards,NO
Scale consistency across panels,dual axis,gemini,baseline,NO
Scale consistency across panels,dual axis,gemini,selfcheck,NO
Scale consistency across panels,dual axis,gemini,standards,NO
Color contrast & colorblind safety,dual axis,gemini,baseline,NO
Color contrast & colorblind safety,dual axis,gemini,selfcheck,YES
Color contrast & colorblind safety,dual axis,gemini,standards,NO
Redundancy,dual axis,gemini,baseline,YES
Redundancy,dual axis,gemini,selfcheck,YES
Redundancy,dual axis,gemini,standards,NO
Data faithfulness,dual axis,gemini,baseline,YES
Data faithfulness,dual axis,gemini,selfcheck,YES
Data faithfulness,dual axis,gemini,standards,YES
"Labels, units, titles & legends",dual axis,gemini,baseline,YES
"Labels, units, titles & legends",dual axis,gemini,selfcheck,YES
"Labels, units, titles & legends",dual axis,gemini,standards,YES
Gridlines/ticks & sizing,dual axis,gemini,baseline,YES
Gridlines/ticks & sizing,dual axis,gemini,selfcheck,YES
Gridlines/ticks & sizing,dual axis,gemini,standards,YES
Appropriate Data‑ink ratio,dual axis,gemini,baseline,YES
Appropriate Data‑ink ratio,dual axis,gemini,selfcheck,YES
Appropriate Data‑ink ratio,dual axis,gemini,standards,YES
Legend–encoding alignment,dual axis,gemini,baseline,
Legend–encoding alignment,dual axis,gemini,selfcheck,
Legend–encoding alignment,dual axis,gemini,standards,
Task intent adherence,dual axis,gemini,baseline,NO
Task intent adherence,dual axis,gemini,selfcheck,NO
Task intent adherence,dual axis,gemini,standards,NO
Holistic readability,dual axis,gemini,baseline,YES
Holistic readability,dual axis,gemini,selfcheck,YES
Holistic readability,dual axis,gemini,standards,YES
Code validity & reproducibility,dual axis,grok,baseline,YES
Code validity & reproducibility,dual axis,grok,selfcheck,YES
Code validity & reproducibility,dual axis,grok,standards,YES
Encoding choice matches task,dual axis,grok,baseline,YES
Encoding choice matches task,dual axis,grok,selfcheck,YES
Encoding choice matches task,dual axis,grok,standards,YES
Chart type suitability,dual axis,grok,baseline,NO
Chart type suitability,dual axis,grok,selfcheck,NO
Chart type suitability,dual axis,grok,standards,NO
Axis integrity,dual axis,grok,baseline,NO
Axis integrity,dual axis,grok,selfcheck,NO
Axis integrity,dual axis,grok,standards,NO
Scale consistency across panels,dual axis,grok,baseline,NO
Scale consistency across panels,dual axis,grok,selfcheck,NO
Scale consistency across panels,dual axis,grok,standards,NO
Color contrast & colorblind safety,dual axis,grok,baseline,NO
Color contrast & colorblind safety,dual axis,grok,selfcheck,NO
Color contrast & colorblind safety,dual axis,grok,standards,YES
Redundancy,dual axis,grok,baseline,YES
Redundancy,dual axis,grok,selfcheck,YES
Redundancy,dual axis,grok,standards,YES
Data faithfulness,dual axis,grok,baseline,YES
Data faithfulness,dual axis,grok,selfcheck,YES
Data faithfulness,dual axis,grok,standards,YES
"Labels, units, titles & legends",dual axis,grok,baseline,YES
"Labels, units, titles & legends",dual axis,grok,selfcheck,YES
"Labels, units, titles & legends",dual axis,grok,standards,YES
Gridlines/ticks & sizing,dual axis,grok,baseline,YES
Gridlines/ticks & sizing,dual axis,grok,selfcheck,YES
Gridlines/ticks & sizing,dual axis,grok,standards,YES
Appropriate Data‑ink ratio,dual axis,grok,baseline,YES
Appropriate Data‑ink ratio,dual axis,grok,selfcheck,NO
Appropriate Data‑ink ratio,dual axis,grok,standards,YES
Legend–encoding alignment,dual axis,grok,baseline,
Legend–encoding alignment,dual axis,grok,selfcheck,NO
Legend–encoding alignment,dual axis,grok,standards,YES
Task intent adherence,dual axis,grok,baseline,NO
Task intent adherence,dual axis,grok,selfcheck,NO
Task intent adherence,dual axis,grok,standards,NO
Holistic readability,dual axis,grok,baseline,YES
Holistic readability,dual axis,grok,selfcheck,YES
Holistic readability,dual axis,grok,standards,YES
Code validity & reproducibility,dual axis,chatgpt,baseline,YES
Code validity & reproducibility,dual axis,chatgpt,selfcheck,YES
Code validity & reproducibility,dual axis,chatgpt,standards,YES
Encoding choice matches task,dual axis,chatgpt,baseline,YES
Encoding choice matches task,dual axis,chatgpt,selfcheck,YES
Encoding choice matches task,dual axis,chatgpt,standards,YES
Chart type suitability,dual axis,chatgpt,baseline,NO
Chart type suitability,dual axis,chatgpt,selfcheck,NO
Chart type suitability,dual axis,chatgpt,standards,NO
Axis integrity,dual axis,chatgpt,baseline,NO
Axis integrity,dual axis,chatgpt,selfcheck,NO
Axis integrity,dual axis,chatgpt,standards,NO
Scale consistency across panels,dual axis,chatgpt,baseline,NO
Scale consistency across panels,dual axis,chatgpt,selfcheck,NO
Scale consistency across panels,dual axis,chatgpt,standards,NO
Color contrast & colorblind safety,dual axis,chatgpt,baseline,NO
Color contrast & colorblind safety,dual axis,chatgpt,selfcheck,NO
Color contrast & colorblind safety,dual axis,chatgpt,standards,NO
Redundancy,dual axis,chatgpt,baseline,NO
Redundancy,dual axis,chatgpt,selfcheck,NO
Redundancy,dual axis,chatgpt,standards,NO
Data faithfulness,dual axis,chatgpt,baseline,YES
Data faithfulness,dual axis,chatgpt,selfcheck,YES
Data faithfulness,dual axis,chatgpt,standards,YES
"Labels, units, titles & legends",dual axis,chatgpt,baseline,NO
"Labels, units, titles & legends",dual axis,chatgpt,selfcheck,NO
"Labels, units, titles & legends",dual axis,chatgpt,standards,NO
Gridlines/ticks & sizing,dual axis,chatgpt,baseline,YES
Gridlines/ticks & sizing,dual axis,chatgpt,selfcheck,YES
Gridlines/ticks & sizing,dual axis,chatgpt,standards,YES
Appropriate Data‑ink ratio,dual axis,chatgpt,baseline,YES
Appropriate Data‑ink ratio,dual axis,chatgpt,selfcheck,NO
Appropriate Data‑ink ratio,dual axis,chatgpt,standards,NO
Legend–encoding alignment,dual axis,chatgpt,baseline,YES
Legend–encoding alignment,dual axis,chatgpt,selfcheck,YES
Legend–encoding alignment,dual axis,chatgpt,standards,YES
Task intent adherence,dual axis,chatgpt,baseline,NO
Task intent adherence,dual axis,chatgpt,selfcheck,NO
Task intent adherence,dual axis,chatgpt,standards,NO
Holistic readability,dual axis,chatgpt,baseline,YES
Holistic readability,dual axis,chatgpt,selfcheck,YES
Holistic readability,dual axis,chatgpt,standards,YES
Code validity & reproducibility,histogram,gemini,baseline,YES
Code validity & reproducibility,histogram,gemini,selfcheck,YES
Code validity & reproducibility,histogram,gemini,standards,YES
Encoding choice matches task,histogram,gemini,baseline,YES
Encoding choice matches task,histogram,gemini,selfcheck,YES
Encoding choice matches task,histogram,gemini,standards,YES
Chart type suitability,histogram,gemini,baseline,YES
Chart type suitability,histogram,gemini,selfcheck,YES
Chart type suitability,histogram,gemini,standards,YES
Axis integrity,histogram,gemini,baseline,YES
Axis integrity,histogram,gemini,selfcheck,YES
Axis integrity,histogram,gemini,standards,YES
Scale consistency across panels,histogram,gemini,baseline,YES
Scale consistency across panels,histogram,gemini,selfcheck,YES
Scale consistency across panels,histogram,gemini,standards,YES
Color contrast & colorblind safety,histogram,gemini,baseline,YES
Color contrast & colorblind safety,histogram,gemini,selfcheck,YES
Color contrast & colorblind safety,histogram,gemini,standards,YES
Redundancy,histogram,gemini,baseline,YES
Redundancy,histogram,gemini,selfcheck,YES
Redundancy,histogram,gemini,standards,YES
Data faithfulness,histogram,gemini,baseline,YES
Data faithfulness,histogram,gemini,selfcheck,YES
Data faithfulness,histogram,gemini,standards,YES
"Labels, units, titles & legends",histogram,gemini,baseline,YES
"Labels, units, titles & legends",histogram,gemini,selfcheck,YES
"Labels, units, titles & legends",histogram,gemini,standards,YES
Gridlines/ticks & sizing,histogram,gemini,baseline,NO
Gridlines/ticks & sizing,histogram,gemini,selfcheck,YES
Gridlines/ticks & sizing,histogram,gemini,standards,NO
Appropriate Data‑ink ratio,histogram,gemini,baseline,YES
Appropriate Data‑ink ratio,histogram,gemini,selfcheck,YES
Appropriate Data‑ink ratio,histogram,gemini,standards,YES
Legend–encoding alignment,histogram,gemini,baseline,
Legend–encoding alignment,histogram,gemini,selfcheck,
Legend–encoding alignment,histogram,gemini,standards,
Task intent adherence,histogram,gemini,baseline,YES
Task intent adherence,histogram,gemini,selfcheck,YES
Task intent adherence,histogram,gemini,standards,YES
Holistic readability,histogram,gemini,baseline,YES
Holistic readability,histogram,gemini,selfcheck,YES
Holistic readability,histogram,gemini,standards,YES
Code validity & reproducibility,histogram,grok,baseline,YES
Code validity & reproducibility,histogram,grok,selfcheck,YES
Code validity & reproducibility,histogram,grok,standards,YES
Encoding choice matches task,histogram,grok,baseline,YES
Encoding choice matches task,histogram,grok,selfcheck,YES
Encoding choice matches task,histogram,grok,standards,YES
Chart type suitability,histogram,grok,baseline,YES
Chart type suitability,histogram,grok,selfcheck,YES
Chart type suitability,histogram,grok,standards,YES
Axis integrity,histogram,grok,baseline,NO
Axis integrity,histogram,grok,selfcheck,NO
Axis integrity,histogram,grok,standards,NO
Scale consistency across panels,histogram,grok,baseline,YES
Scale consistency across panels,histogram,grok,selfcheck,YES
Scale consistency across panels,histogram,grok,standards,YES
Color contrast & colorblind safety,histogram,grok,baseline,YES
Color contrast & colorblind safety,histogram,grok,selfcheck,YES
Color contrast & colorblind safety,histogram,grok,standards,YES
Redundancy,histogram,grok,baseline,YES
Redundancy,histogram,grok,selfcheck,YES
Redundancy,histogram,grok,standards,YES
Data faithfulness,histogram,grok,baseline,YES
Data faithfulness,histogram,grok,selfcheck,YES
Data faithfulness,histogram,grok,standards,YES
"Labels, units, titles & legends",histogram,grok,baseline,YES
"Labels, units, titles & legends",histogram,grok,selfcheck,YES
"Labels, units, titles & legends",histogram,grok,standards,YES
Gridlines/ticks & sizing,histogram,grok,baseline,NO
Gridlines/ticks & sizing,histogram,grok,selfcheck,YES
Gridlines/ticks & sizing,histogram,grok,standards,YES
Appropriate Data‑ink ratio,histogram,grok,baseline,YES
Appropriate Data‑ink ratio,histogram,grok,selfcheck,YES
Appropriate Data‑ink ratio,histogram,grok,standards,YES
Legend–encoding alignment,histogram,grok,baseline,
Legend–encoding alignment,histogram,grok,selfcheck,
Legend–encoding alignment,histogram,grok,standards,
Task intent adherence,histogram,grok,baseline,YES
Task intent adherence,histogram,grok,selfcheck,YES
Task intent adherence,histogram,grok,standards,YES
Holistic readability,histogram,grok,baseline,YES
Holistic readability,histogram,grok,selfcheck,YES
Holistic readability,histogram,grok,standards,YES
Code validity & reproducibility,histogram,chatgpt,baseline,YES
Code validity & reproducibility,histogram,chatgpt,selfcheck,YES
Code validity & reproducibility,histogram,chatgpt,standards,YES
Encoding choice matches task,histogram,chatgpt,baseline,YES
Encoding choice matches task,histogram,chatgpt,selfcheck,YES
Encoding choice matches task,histogram,chatgpt,standards,YES
Chart type suitability,histogram,chatgpt,baseline,YES
Chart type suitability,histogram,chatgpt,selfcheck,YES
Chart type suitability,histogram,chatgpt,standards,YES
Axis integrity,histogram,chatgpt,baseline,NO
Axis integrity,histogram,chatgpt,selfcheck,YES
Axis integrity,histogram,chatgpt,standards,YES
Scale consistency across panels,histogram,chatgpt,baseline,YES
Scale consistency across panels,histogram,chatgpt,selfcheck,YES
Scale consistency across panels,histogram,chatgpt,standards,YES
Color contrast & colorblind safety,histogram,chatgpt,baseline,YES
Color contrast & colorblind safety,histogram,chatgpt,selfcheck,YES
Color contrast & colorblind safety,histogram,chatgpt,standards,YES
Redundancy,histogram,chatgpt,baseline,NO
Redundancy,histogram,chatgpt,selfcheck,YES
Redundancy,histogram,chatgpt,standards,YES
Data faithfulness,histogram,chatgpt,baseline,YES
Data faithfulness,histogram,chatgpt,selfcheck,YES
Data faithfulness,histogram,chatgpt,standards,YES
"Labels, units, titles & legends",histogram,chatgpt,baseline,YES
"Labels, units, titles & legends",histogram,chatgpt,selfcheck,YES
"Labels, units, titles & legends",histogram,chatgpt,standards,YES
Gridlines/ticks & sizing,histogram,chatgpt,baseline,YES
Gridlines/ticks & sizing,histogram,chatgpt,selfcheck,YES
Gridlines/ticks & sizing,histogram,chatgpt,standards,YES
Appropriate Data‑ink ratio,histogram,chatgpt,baseline,NO
Appropriate Data‑ink ratio,histogram,chatgpt,selfcheck,YES
Appropriate Data‑ink ratio,histogram,chatgpt,standards,YES
Legend–encoding alignment,histogram,chatgpt,baseline,
Legend–encoding alignment,histogram,chatgpt,selfcheck,
Legend–encoding alignment,histogram,chatgpt,standards,
Task intent adherence,histogram,chatgpt,baseline,YES
Task intent adherence,histogram,chatgpt,selfcheck,YES
Task intent adherence,histogram,chatgpt,standards,YES
Holistic readability,histogram,chatgpt,baseline,YES
Holistic readability,histogram,chatgpt,selfcheck,YES
Holistic readability,histogram,chatgpt,standards,YES
Code validity & reproducibility,stacked bars,gemini,baseline,YES
Code validity & reproducibility,stacked bars,gemini,selfcheck,YES
Code validity & reproducibility,stacked bars,gemini,standards,YES
Encoding choice matches task,stacked bars,gemini,baseline,YES
Encoding choice matches task,stacked bars,gemini,selfcheck,YES
Encoding choice matches task,stacked bars,gemini,standards,YES
Chart type suitability,stacked bars,gemini,baseline,YES
Chart type suitability,stacked bars,gemini,selfcheck,YES
Chart type suitability,stacked bars,gemini,standards,YES
Axis integrity,stacked bars,gemini,baseline,YES
Axis integrity,stacked bars,gemini,selfcheck,YES
Axis integrity,stacked bars,gemini,standards,YES
Scale consistency across panels,stacked bars,gemini,baseline,YES
Scale consistency across panels,stacked bars,gemini,selfcheck,YES
Scale consistency across panels,stacked bars,gemini,standards,YES
Color contrast & colorblind safety,stacked bars,gemini,baseline,YES
Color contrast & colorblind safety,stacked bars,gemini,selfcheck,NO
Color contrast & colorblind safety,stacked bars,gemini,standards,YES
Redundancy,stacked bars,gemini,baseline,NO
Redundancy,stacked bars,gemini,selfcheck,NO
Redundancy,stacked bars,gemini,standards,NO
Data faithfulness,stacked bars,gemini,baseline,NO
Data faithfulness,stacked bars,gemini,selfcheck,NO
Data faithfulness,stacked bars,gemini,standards,NO
"Labels, units, titles & legends",stacked bars,gemini,baseline,YES
"Labels, units, titles & legends",stacked bars,gemini,selfcheck,YES
"Labels, units, titles & legends",stacked bars,gemini,standards,YES
Gridlines/ticks & sizing,stacked bars,gemini,baseline,NO
Gridlines/ticks & sizing,stacked bars,gemini,selfcheck,YES
Gridlines/ticks & sizing,stacked bars,gemini,standards,YES
Appropriate Data‑ink ratio,stacked bars,gemini,baseline,YES
Appropriate Data‑ink ratio,stacked bars,gemini,selfcheck,YES
Appropriate Data‑ink ratio,stacked bars,gemini,standards,YES
Legend–encoding alignment,stacked bars,gemini,baseline,NO
Legend–encoding alignment,stacked bars,gemini,selfcheck,NO
Legend–encoding alignment,stacked bars,gemini,standards,NO
Task intent adherence,stacked bars,gemini,baseline,YES
Task intent adherence,stacked bars,gemini,selfcheck,YES
Task intent adherence,stacked bars,gemini,standards,YES
Holistic readability,stacked bars,gemini,baseline,YES
Holistic readability,stacked bars,gemini,selfcheck,YES
Holistic readability,stacked bars,gemini,standards,YES
Code validity & reproducibility,stacked bars,grok,baseline,YES
Code validity & reproducibility,stacked bars,grok,selfcheck,YES
Code validity & reproducibility,stacked bars,grok,standards,YES
Encoding choice matches task,stacked bars,grok,baseline,YES
Encoding choice matches task,stacked bars,grok,selfcheck,YES
Encoding choice matches task,stacked bars,grok,standards,YES
Chart type suitability,stacked bars,grok,baseline,YES
Chart type suitability,stacked bars,grok,selfcheck,YES
Chart type suitability,stacked bars,grok,standards,YES
Axis integrity,stacked bars,grok,baseline,YES
Axis integrity,stacked bars,grok,selfcheck,YES
Axis integrity,stacked bars,grok,standards,YES
Scale consistency across panels,stacked bars,grok,baseline,YES
Scale consistency across panels,stacked bars,grok,selfcheck,YES
Scale consistency across panels,stacked bars,grok,standards,YES
Color contrast & colorblind safety,stacked bars,grok,baseline,YES
Color contrast & colorblind safety,stacked bars,grok,selfcheck,YES
Color contrast & colorblind safety,stacked bars,grok,standards,NO
Redundancy,stacked bars,grok,baseline,NO
Redundancy,stacked bars,grok,selfcheck,NO
Redundancy,stacked bars,grok,standards,NO
Data faithfulness,stacked bars,grok,baseline,NO
Data faithfulness,stacked bars,grok,selfcheck,NO
Data faithfulness,stacked bars,grok,standards,NO
"Labels, units, titles & legends",stacked bars,grok,baseline,YES
"Labels, units, titles & legends",stacked bars,grok,selfcheck,YES
"Labels, units, titles & legends",stacked bars,grok,standards,YES
Gridlines/ticks & sizing,stacked bars,grok,baseline,NO
Gridlines/ticks & sizing,stacked bars,grok,selfcheck,YES
Gridlines/ticks & sizing,stacked bars,grok,standards,YES
Appropriate Data‑ink ratio,stacked bars,grok,baseline,YES
Appropriate Data‑ink ratio,stacked bars,grok,selfcheck,YES
Appropriate Data‑ink ratio,stacked bars,grok,standards,YES
Legend–encoding alignment,stacked bars,grok,baseline,NO
Legend–encoding alignment,stacked bars,grok,selfcheck,NO
Legend–encoding alignment,stacked bars,grok,standards,YES
Task intent adherence,stacked bars,grok,baseline,YES
Task intent adherence,stacked bars,grok,selfcheck,YES
Task intent adherence,stacked bars,grok,standards,YES
Holistic readability,stacked bars,grok,baseline,YES
Holistic readability,stacked bars,grok,selfcheck,YES
Holistic readability,stacked bars,grok,standards,YES
Code validity & reproducibility,stacked bars,chatgpt,baseline,YES
Code validity & reproducibility,stacked bars,chatgpt,selfcheck,YES
Code validity & reproducibility,stacked bars,chatgpt,standards,YES
Encoding choice matches task,stacked bars,chatgpt,baseline,YES
Encoding choice matches task,stacked bars,chatgpt,selfcheck,YES
Encoding choice matches task,stacked bars,chatgpt,standards,YES
Chart type suitability,stacked bars,chatgpt,baseline,YES
Chart type suitability,stacked bars,chatgpt,selfcheck,YES
Chart type suitability,stacked bars,chatgpt,standards,YES
Axis integrity,stacked bars,chatgpt,baseline,NO
Axis integrity,stacked bars,chatgpt,selfcheck,NO
Axis integrity,stacked bars,chatgpt,standards,NO
Scale consistency across panels,stacked bars,chatgpt,baseline,YES
Scale consistency across panels,stacked bars,chatgpt,selfcheck,YES
Scale consistency across panels,stacked bars,chatgpt,standards,YES
Color contrast & colorblind safety,stacked bars,chatgpt,baseline,YES
Color contrast & colorblind safety,stacked bars,chatgpt,selfcheck,YES
Color contrast & colorblind safety,stacked bars,chatgpt,standards,YES
Redundancy,stacked bars,chatgpt,baseline,NO
Redundancy,stacked bars,chatgpt,selfcheck,NO
Redundancy,stacked bars,chatgpt,standards,NO
Data faithfulness,stacked bars,chatgpt,baseline,YES
Data faithfulness,stacked bars,chatgpt,selfcheck,YES
Data faithfulness,stacked bars,chatgpt,standards,YES
"Labels, units, titles & legends",stacked bars,chatgpt,baseline,YES
"Labels, units, titles & legends",stacked bars,chatgpt,selfcheck,YES
"Labels, units, titles & legends",stacked bars,chatgpt,standards,YES
Gridlines/ticks & sizing,stacked bars,chatgpt,baseline,YES
Gridlines/ticks & sizing,stacked bars,chatgpt,selfcheck,YES
Gridlines/ticks & sizing,stacked bars,chatgpt,standards,YES
Appropriate Data‑ink ratio,stacked bars,chatgpt,baseline,YES
Appropriate Data‑ink ratio,stacked bars,chatgpt,selfcheck,YES
Appropriate Data‑ink ratio,stacked bars,chatgpt,standards,YES
Legend–encoding alignment,stacked bars,chatgpt,baseline,YES
Legend–encoding alignment,stacked bars,chatgpt,selfcheck,NO
Legend–encoding alignment,stacked bars,chatgpt,standards,YES
Task intent adherence,stacked bars,chatgpt,baseline,YES
Task intent adherence,stacked bars,chatgpt,selfcheck,YES
Task intent adherence,stacked bars,chatgpt,standards,YES
Holistic readability,stacked bars,chatgpt,baseline,YES
Holistic readability,stacked bars,chatgpt,selfcheck,YES
Holistic readability,stacked bars,chatgpt,standards,YES
